|6.6.6
echonhy_1.tab                                                                                       
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3429.493       5.746340       2.349730       4009976.      0.3679193E-04
  3430.457       5.749333       2.351314       4009396.      0.3674882E-04
  3431.273       5.751125       2.351683       4009824.      0.3671315E-04
  3432.088       5.752916       2.352052       4010251.      0.3667756E-04
  3433.091       5.756064       2.353662       4009601.      0.3663663E-04
  3433.904       5.757854       2.354031       4010026.      0.3660119E-04
  3434.827       5.760348       2.355214       4009868.      0.3656154E-04
  3435.639       5.762136       2.355583       4010291.      0.3652623E-04
  3435.834       5.755955       2.356839       4009151.      0.3656924E-04
  3436.329       5.754215       2.357384       4009204.      0.3656162E-04
  3437.203       5.756498       2.358270       4009231.      0.3652337E-04
  3438.013       5.758281       2.358639       4009651.      0.3648822E-04
  3438.868       5.760280       2.359312       4009902.      0.3645186E-04
  3439.676       5.762061       2.359681       4010320.      0.3641685E-04
  3439.928       5.757635       2.360375       4010089.      0.3643120E-04
  3441.165       5.759984       2.362633       4009682.      0.3640747E-04
  3441.972       5.761774       2.363002       4010097.      0.3637258E-04
  3442.778       5.763563       2.363372       4010512.      0.3633777E-04
  3443.583       5.765350       2.363741       4010926.      0.3630302E-04
  3444.387       5.767135       2.364110       4011339.      0.3626834E-04
  3445.191       5.768918       2.364480       4011751.      0.3623373E-04
  3445.873       5.770741       2.364417       4012176.      0.3619558E-04
  3446.675       5.772518       2.364786       4012587.      0.3616113E-04
  3447.370       5.772945       2.365212       4012872.      0.3613618E-04
  3448.276       5.774827       2.365979       4013094.      0.3610621E-04
  3449.077       5.776603       2.366349       4013503.      0.3607193E-04
  3449.953       5.778324       2.366909       4013853.      0.3604300E-04
  3450.753       5.780102       2.367279       4014260.      0.3600884E-04
  3451.659       5.781798       2.367916       4014605.      0.3598191E-04
  3452.457       5.783577       2.368285       4015010.      0.3594788E-04
  3453.350       5.785250       2.368889       4015419.      0.3591958E-04
  3454.148       5.787029       2.369258       4015823.      0.3588566E-04
  3454.945       5.788807       2.369627       4016226.      0.3585181E-04
  3455.900       5.790767       2.370535       4016317.      0.3582676E-04
  3456.695       5.792548       2.370905       4016719.      0.3579302E-04
  3457.601       5.794280       2.371551       4017054.      0.3576661E-04
  3458.396       5.796062       2.371920       4017454.      0.3573299E-04
  3459.382       5.797713       2.372718       4017650.      0.3571072E-04
  3460.176       5.799497       2.373088       4018049.      0.3567721E-04
  3461.199       5.801196       2.373996       4018209.      0.3565812E-04
