|6.6.6
pyro_1.tab                                                                                          
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3423.876       8.447891       4.891631       2874342.      0.2012348E-04
  3431.779       8.471998       4.901840       2883500.      0.2008555E-04
  3432.293       8.473677       4.902324       2883476.      0.2006631E-04
  3432.806       8.475354       4.902809       2883548.      0.2004698E-04
  3433.319       8.477030       4.903293       2883708.      0.2002757E-04
  3433.832       8.478702       4.903776       2884229.      0.2000821E-04
  3434.344       8.480378       4.904260       2883930.      0.1998898E-04
  3434.856       8.482048       4.904743       2884257.      0.1996965E-04
  3435.368       8.483720       4.905225       2884215.      0.1995045E-04
  3435.880       8.485390       4.905707       2884373.      0.1993133E-04
  3438.682       8.494223       4.909990       2887172.      0.1991245E-04
  3439.192       8.495886       4.910470       2887395.      0.1989365E-04
  3439.702       8.497547       4.910949       2887815.      0.1987467E-04
  3440.212       8.499210       4.911429       2887629.      0.1985558E-04
  3441.443       8.503220       4.913350       2888851.      0.1983785E-04
  3441.952       8.504880       4.913828       2888825.      0.1981896E-04
  3442.461       8.506536       4.914305       2888931.      0.1980022E-04
  3443.120       8.509009       4.915804       2889286.      0.1978383E-04
  3443.628       8.510663       4.916280       2889429.      0.1976523E-04
  3444.136       8.512316       4.916757       2889649.      0.1974643E-04
  3444.643       8.513970       4.917233       2889608.      0.1972785E-04
  3445.150       8.515621       4.917709       2889797.      0.1970943E-04
  3445.657       8.517272       4.918184       2889795.      0.1969076E-04
  3446.164       8.518919       4.918659       2890143.      0.1967224E-04
  3446.670       8.520567       4.919134       2890384.      0.1965383E-04
  3447.176       8.522214       4.919608       2890477.      0.1963519E-04
  3447.183       8.520974       4.916429       2890423.      0.1961005E-04
  3447.688       8.522619       4.916904       2890447.      0.1959168E-04
  3448.193       8.524261       4.917378       2890795.      0.1957327E-04
  3448.698       8.525904       4.917852       2890820.      0.1955492E-04
  3449.203       8.527544       4.918325       2890995.      0.1953645E-04
  3449.707       8.529185       4.918798       2891094.      0.1951854E-04
  3450.211       8.530823       4.919271       2891388.      0.1950018E-04
  3450.714       8.532461       4.919744       2891394.      0.1948191E-04
  3451.218       8.534098       4.920216       2891493.      0.1946385E-04
  3451.721       8.535733       4.920688       2891725.      0.1944560E-04
  3452.224       8.537368       4.921159       2891876.      0.1942781E-04
  3452.826       8.539181       4.921802       2892041.      0.1941386E-04
  3453.328       8.540814       4.922273       2892085.      0.1939582E-04
  3453.830       8.542443       4.922743       2892442.      0.1937801E-04
  3454.332       8.544073       4.923214       2892566.      0.1936010E-04
  3454.833       8.545701       4.923683       2892743.      0.1934195E-04
  3455.334       8.547329       4.924153       2892878.      0.1932429E-04
  3455.835       8.548957       4.924622       2892739.      0.1930635E-04
  3456.336       8.550580       4.925091       2893220.      0.1928859E-04
  3456.836       8.552206       4.925559       2893218.      0.1927108E-04
  3457.336       8.553828       4.926027       2893493.      0.1925313E-04
  3457.836       8.555450       4.926495       2893632.      0.1923546E-04
  3458.335       8.557072       4.926963       2893685.      0.1921781E-04
  3458.834       8.558691       4.927430       2893936.      0.1920027E-04
  3459.333       8.560312       4.927897       2893730.      0.1918255E-04
  3459.832       8.561929       4.928363       2894036.      0.1916496E-04
  3460.330       8.563545       4.928829       2894212.      0.1914743E-04
  3460.829       8.565161       4.929295       2894290.      0.1912983E-04
  3461.326       8.566776       4.929761       2894488.      0.1911240E-04
  3461.913       8.568468       4.930289       2894837.      0.1909954E-04
  3462.410       8.570079       4.930754       2895049.      0.1908212E-04
  3462.907       8.571690       4.931218       2895264.      0.1906480E-04
  3463.404       8.573301       4.931682       2895302.      0.1904740E-04
  3463.901       8.574910       4.932146       2895318.      0.1903003E-04
  3464.397       8.576519       4.932610       2895357.      0.1901280E-04
  3464.893       8.578124       4.933073       2895769.      0.1899562E-04
  3465.388       8.579731       4.933536       2895808.      0.1897852E-04
  3465.884       8.581336       4.933999       2895984.      0.1896123E-04
  3466.379       8.582937       4.934461       2896336.      0.1894392E-04
  3466.874       8.584542       4.934923       2896328.      0.1892724E-04
  3467.368       8.586144       4.935385       2896454.      0.1890988E-04
  3467.863       8.587743       4.935846       2896769.      0.1889281E-04
  3468.357       8.589344       4.936307       2896823.      0.1887591E-04
  3468.851       8.590942       4.936768       2896972.      0.1885897E-04
  3469.344       8.592540       4.937228       2896971.      0.1884188E-04
  3469.838       8.594137       4.937688       2897137.      0.1882482E-04
  3470.421       8.596026       4.938485       2897409.      0.1881122E-04
  3470.914       8.597621       4.938944       2897381.      0.1879454E-04
  3471.406       8.599213       4.939403       2897753.      0.1877773E-04
  3471.898       8.600805       4.939862       2897884.      0.1876086E-04
  3472.390       8.602397       4.940320       2897822.      0.1874394E-04
  3472.882       8.603988       4.940778       2897871.      0.1872738E-04
  3473.374       8.605578       4.941236       2898044.      0.1871068E-04
  3473.865       8.607165       4.941694       2898342.      0.1869400E-04
  3474.356       8.608753       4.942151       2898359.      0.1867743E-04
