|6.6.6
epyro_2.tab                                                                                         
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3486.748       8.645412       4.962736       2909716.      0.1898715E-04
  3487.235       8.646947       4.963193       2909955.      0.1897104E-04
  3487.722       8.648482       4.963650       2910108.      0.1895508E-04
  3488.209       8.650015       4.964107       2910320.      0.1893895E-04
  3488.948       8.651901       4.965227       2910763.      0.1893543E-04
  3489.435       8.653434       4.965683       2910601.      0.1891931E-04
  3489.921       8.654963       4.966139       2910775.      0.1890329E-04
  3490.407       8.656491       4.966594       2911009.      0.1888719E-04
  3490.893       8.658020       4.967050       2911118.      0.1887137E-04
  3491.379       8.659547       4.967505       2911363.      0.1885531E-04
  3491.864       8.661074       4.967959       2911384.      0.1883968E-04
  3492.349       8.662600       4.968413       2911330.      0.1882358E-04
  3492.834       8.664124       4.968868       2911453.      0.1880770E-04
  3498.331       8.674768       4.965774       2919261.      0.1878708E-04
  3498.814       8.676281       4.966226       2919370.      0.1877165E-04
  3499.296       8.677792       4.966677       2919521.      0.1875601E-04
  3499.777       8.679304       4.967129       2919447.      0.1874040E-04
  3500.259       8.680812       4.967580       2919727.      0.1872488E-04
  3500.740       8.682322       4.968031       2919709.      0.1870926E-04
  3501.221       8.683829       4.968481       2919887.      0.1869362E-04
  3502.850       8.687002       4.968102       2921738.      0.1868716E-04
  3503.331       8.688506       4.968552       2921798.      0.1867178E-04
