|6.6.6
CV3hy1wt_678_1.tab                                                                                  
           2
P(bar)  
   1.0000000000000000     
   350.87468671679198     
         400
T(K)    
   275.00000000000000     
   9.1137123745819402     
         300
           9
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K      Ks,bar         Gs,bar        
  86667.05       275.0000       3975.215       6.455050       2.226603       4588322.      0.2720683E-04   1393604.       197081.6    
  87017.92       275.0000       3976.177       6.457749       2.227370       4588935.      0.2717435E-04   1395146.       197265.2    
  87368.80       275.0000       3977.235       6.460357       2.227991       4589518.      0.2714189E-04   1396710.       197427.8    
  87719.67       275.0000       3978.324       6.463255       2.228938       4589569.      0.2710700E-04   1398359.       197649.6    
  88070.55       275.0000       3979.376       6.465767       2.229444       4590295.      0.2707539E-04   1399901.       197791.7    
  88421.42       275.0000       3980.414       6.468285       2.229969       4591032.      0.2704391E-04   1401439.       197936.5    
  88772.30       275.0000       3981.556       6.470830       2.230522       4591589.      0.2701175E-04   1403021.       198091.4    
  89123.17       275.0000       3982.609       6.473473       2.231196       4592097.      0.2697936E-04   1404595.       198263.7    
  89474.05       275.0000       3983.668       6.476108       2.231863       4592608.      0.2694707E-04   1406169.       198435.0    
  89824.92       275.0000       3984.715       6.478729       2.232481       4593103.      0.2691477E-04   1407746.       198597.0    
  90175.79       275.0000       3985.778       6.481329       2.233098       4593637.      0.2688275E-04   1409318.       198759.8    
