|6.6.6
CM_hydrous_differentiated_Ganymede_Core80Fe20S_1.tab                                                
           2
T(K)    
   273.150000000000     
   5.53477564102564     
         313
P(bar)  
   1.00000000000000     
   277.240384615385     
         313
           9
T(K)           P(bar)         rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K      Ks,bar         Gs,bar        
  1103.37        1.00000        3523.18        6.54396        3.14362       0.399629E+007  0.404730E-004  0.104452E+007   348173.     
  1108.90        1.00000        3522.39        6.54149        3.14243       0.399877E+007  0.405306E-004  0.104350E+007   347832.     
  1114.44        1.00000        3521.60        6.53903        3.14125       0.400122E+007  0.405880E-004  0.104248E+007   347492.     
  1119.97        1.00000        3520.81        6.53658        3.14007       0.400366E+007  0.406471E-004  0.104146E+007   347153.     
  1125.51        1.00000        3520.02        6.53410        3.13888       0.400606E+007  0.407051E-004  0.104044E+007   346812.     
  1131.04        1.00000        3519.23        6.53162        3.13769       0.400844E+007  0.407632E-004  0.103941E+007   346471.     
  1136.57        1.00000        3518.43        6.52914        3.13650       0.401079E+007  0.408213E-004  0.103839E+007   346130.     
  1142.11        1.00000        3517.64        6.52665        3.13530       0.401311E+007  0.408796E-004  0.103737E+007   345788.     
  1147.64        1.00000        3516.85        6.52416        3.13411       0.401541E+007  0.409380E-004  0.103634E+007   345447.     
  1153.18        1.00000        3516.05        6.52167        3.13291       0.401769E+007  0.409965E-004  0.103531E+007   345105.     
  1158.71        1.00000        3515.27        6.51912        3.13168       0.401993E+007  0.410530E-004  0.103427E+007   344758.     
  1164.25        1.00000        3514.47        6.51663        3.13049       0.402215E+007  0.411120E-004  0.103325E+007   344416.     
  1169.78        1.00000        3513.67        6.51413        3.12929       0.402436E+007  0.411710E-004  0.103222E+007   344074.     
  1175.32        1.00000        3512.87        6.51164        3.12809       0.402654E+007  0.412302E-004  0.103120E+007   343732.     
  1180.85        1.00000        3512.07        6.50914        3.12689       0.402869E+007  0.412895E-004  0.103017E+007   343390.     
  1186.39        1.00000        3511.26        6.50664        3.12569       0.403083E+007  0.413489E-004  0.102914E+007   343048.     
  1191.92        1.00000        3510.46        6.50413        3.12449       0.403294E+007  0.414085E-004  0.102812E+007   342705.     
  1197.46        1.00000        3509.66        6.50163        3.12328       0.403503E+007  0.414681E-004  0.102709E+007   342363.     
  1202.99        1.00000        3508.85        6.49912        3.12208       0.403709E+007  0.415279E-004  0.102606E+007   342020.     
  1208.53        1.00000        3508.05        6.49660        3.12086       0.403914E+007  0.415876E-004  0.102503E+007   341676.     
  1214.06        1.00000        3507.24        6.49407        3.11965       0.404116E+007  0.416474E-004  0.102400E+007   341332.     
  1219.60        1.00000        3506.43        6.49154        3.11844       0.404316E+007  0.417073E-004  0.102296E+007   340988.     
  1225.13        1.00000        3505.63        6.48901        3.11722       0.404514E+007  0.417674E-004  0.102193E+007   340644.     
  1230.67        1.00000        3504.82        6.48648        3.11600       0.404709E+007  0.418276E-004  0.102090E+007   340299.     
  1236.20        1.00000        3504.01        6.48394        3.11478       0.404903E+007  0.418880E-004  0.101986E+007   339954.     
  1241.74        1.00000        3503.20        6.48140        3.11356       0.405095E+007  0.419485E-004  0.101883E+007   339610.     
  1247.27        1.00000        3502.38        6.47886        3.11234       0.405284E+007  0.420091E-004  0.101779E+007   339265.     
  1252.81        1.00000        3501.56        6.47637        3.11115       0.405472E+007  0.420715E-004  0.101677E+007   338925.     
  1258.34        1.00000        3500.74        6.47383        3.10993       0.405658E+007  0.421326E-004  0.101574E+007   338580.     
  1263.87        1.00000        3499.93        6.47129        3.10871       0.405841E+007  0.421938E-004  0.101471E+007   338235.     
  1269.41        1.00000        3499.11        6.46874        3.10748       0.406023E+007  0.422552E-004  0.101367E+007   337890.     
  1274.94        1.00000        3498.29        6.46619        3.10626       0.406203E+007  0.423167E-004  0.101263E+007   337545.     
  1280.48        1.00000        3497.47        6.46364        3.10503       0.406380E+007  0.423784E-004  0.101160E+007   337200.     
  1286.01        1.00000        3496.65        6.46109        3.10381       0.406556E+007  0.424402E-004  0.101056E+007   336854.     
  1291.55        1.00000        3495.83        6.45853        3.10258       0.406730E+007  0.425022E-004  0.100952E+007   336508.     
